University,Employment Category
"Chalmers Tekniska Högskola (Chalmers) – UG+PG (all engineering programs)","engineering"
"University of Gothenburg (IT/CS programs) – UG+PG","CSE/IT"
"KTH Royal Institute of Technology – PG (master’s)","CSE/IT"
"KTH Royal Institute of Technology – UG+PG (all grads)","all"
"Norwegian Univ. of Science & Tech. (NTNU) – UG+PG","CSE/IT"
"Universitat Politècnica de València (UPV) – UG (BSc Ingeniería Informática)","CSE/IT"
"Gdańsk University of Technology (PG) – UG+PG","CSE/IT"
"Politechnika Warszawska (Warsaw Univ. of Tech.) – UG+PG","all"
"Politecnico di Milano (Polimi) – PG (Laurea Magistrale)","CSE/IT"
"Politecnico di Milano (Polimi) – PG (Laurea Magistrale)","CSE/IT"
"RWTH Aachen University – UG+PG (Informatik/Engineering)","engineering"
"Technische Universität Berlin (TU Berlin) – UG+PG","all"
"Technical University of Munich (TUM) – UG+PG","all"
"ETH Zurich (Swiss Federal Inst. of Tech) – UG+PG","CSE/IT"
"EPFL (École Polytechnique Fédérale de Lausanne) – UG+PG","CSE/IT"
"University of Copenhagen (KU) – UG+PG (all fields)","all"
"University of Helsinki (HY) – UG+PG (all fields)","all"
"University of Cambridge – UG (Computer Science B.A.)","CSE/IT"
"University of Oxford – UG (all undergraduates)","all"
"University of Oxford – PG (postgraduate leavers)","all"
"University College London (UCL) – UG (BSc Computer Science)","CSE/IT"
"Institut Polytechnique de Paris (IP Paris) – PG (École Polytechnique Ingénieur)","CSE/IT"
"Riga Technical University (RTU) – UG+PG (all grads)","all"
"University of Tartu (UT) – UG+PG (all grads)","all"
