University,Country
Chalmers Tekniska Högskola, Sweden
University of Gothenburg,Sweden
KTH, Sweden
Norwegian University of Science and Technology, Norway
Universitat Politècnica de València, Spain
Gdańsk University of Technology, Poland
Politechnika Warszawska, Poland
Politecnico di Milano, Italy
Rheinisch-Westfälische Technische Hochschule Aachen, Germany
Technische Universität Berlin, Germany
Technical University of Munich (TUM),Germany
ETH Zurich,Switzerland
EPFL,Switzerland
University of Copenhagen (KU),Denmark
University of Helsinki (HY),Finland
University of Cambridge,England
University of Oxford,England
University College London (UCL),England
Institut Polytechnique de Paris (IP Paris),France
Riga Technical University (RTU),Latvia
University of Tartu (UT),Estonia
