University Name,International Outlook,Industry Income,Source
Chalmers University of Technology (Sweden),77.4,66.0,THE World University Rankings 2023
University of Gothenburg (Sweden),64.4,77.3,THE World University Rankings 2025
KTH Royal Institute of Technology (Sweden),82.9,97.3,THE World University Rankings 2025
Norwegian University of Science and Technology (Norway),66.3,72.3,THE World University Rankings 2025
Universitat Politècnica de València (Spain),57.7,N/A,THE World University Rankings 2025
Gdańsk University of Technology (Poland),39.4,N/A,THE World University Rankings 2025
Warsaw University of Technology (Poland),32.8,54.9,THE World University Rankings 2025
Politecnico di Milano (Italy),64.4,96.3,THE World University Rankings 2024
RWTH Aachen University (Germany),70.3,100.0,THE World University Rankings 2024
Technische Universität Berlin (Germany),N/A,N/A,Not listed in latest THE rankings
Technical University of Munich (Germany),83.1,100.0,THE World University Rankings 2024
ETH Zurich (Switzerland),95.3,84.0,THE World University Rankings 2025
EPFL (Switzerland),95.3,100.0,THE World University Rankings 2025
University of Copenhagen (Denmark),79.3,90.4,THE World University Rankings 2025
University of Helsinki (Finland),59.2,68.2,THE World University Rankings 2025
University of Cambridge (England),97.1,88.4,THE World University Rankings 2025
University of Oxford (England),97.3,99.6,THE World University Rankings 2025
University College London (England),97.7,74.9,THE World University Rankings 2025
Institut Polytechnique de Paris (France),97.0,98.3,THE World University Rankings 2024
Riga Technical University (Latvia),N/A,N/A,Not listed in latest THE rankings
University of Tartu (Estonia),N/A,N/A,Not listed in latest THE rankings
