Resource Name,Resource Classification,Resource Link,Specific place in the source
Högskolepejl 2024 (Svenskt Näringsliv),Industry survey (graduate outcomes),https://www.tn.se/arbetsmarknad/39016/lista-har-ar-hogskoleutbildningarna-dar-flest-far-jobb/#:~:text=Uppsala%20universitet%2095%2C5%20procent,Andel starkast etablerade som tagit civilingenjörsexamen
GU Årsredovisning 2024 (Annual Report),Official university report,"https://www.gu.se/sites/default/files/2025-02/GU5171-324138550-4306.pdf#:~:text=etableringsgraden%2082%20procent%20f%C3%B6ljt%20av,dessa%20%C3%A4mnesomr%C3%A5%02den%2048%20procent%2C%20vilket","Page number 19, Etablering i arbetslivet"
Karriäruppföljning 2018 (Career Follow-up Survey),Official university survey/report,"https://www.kth.se/polopoly_fs/1.615034.1555061727!/Karri%C3%A4r%20rapport%202018.pdf#:~:text=Hela%2097%20procent%20av%20dem,klar%20f%C3%B6rb%C3%A4ttring%20fr%C3%A5n%20tidigare%20%C3%A5r",Page number 7
Kandidatundersøkelse 2022 (NTNU Graduate Survey),Official university survey,https://www.ntnu.no/documents/1290085550/1321509069/NTNUs+kandidatunders%C3%B8kelse+2022.pdf/3b7e9e58-92a8-8788-211e-0cac35d2f7ea?t=1666185980659,Page number 23
Informe Inserción Laboral GIINF 2023 (UPV),Official university report (career survey),"https://www.upv.es/entidades/etsinf/wp-content/uploads/2024/01/UPV-ETSINF-GIINF-Informe-2023-1.pdf#:~:text=El%2090,100",Page number 25
Informe Inserción Laboral GIINF 2023 (UPV),Official university report (career survey),"https://www.upv.es/entidades/etsinf/wp-content/uploads/2024/01/UPV-ETSINF-GIINF-Informe-2023-1.pdf#:~:text=El%2090,100",Page number 25
"""Quick Employment and Good Earnings Results – Survey on Professional Careers at Gdansk Tech""",Official alumni survey,"https://pg.edu.pl/en/alumni/2019-08/quick-employment-and-good-earnings-results-survey-professional-careers-gdansk-tech?utm_source=chatgpt.com"",""University-specific",4:th paragraph
Indagine Occupazionale 2024 – Polimi Career Service,Official university report/survey,https://www.polimi.it/il-politecnico/news/dettaglio-news/pubblicati-i-dati-dellindagine-occupazionale-2024#:~:text=Data%20di%20pubblicazione%20%2027,1:st paragraph
Indagine Occupazionale 2024 – Polimi Career Service,Official university report/survey,https://www.polimi.it/il-politecnico/news/dettaglio-news/pubblicati-i-dati-dellindagine-occupazionale-2024#:~:text=Data%20di%20pubblicazione%20%2027,1:st paragraph
Monitoring Karier Zawodowych Absolwentów PW (2011–2020),Official university alumni survey,https://www.polimi.it/il-politecnico/news/dettaglio-news/pubblicati-i-dati-dellindagine-occupazionale-2024#:~:text=Data%20di%20pubblicazione%20%2027,1:st paragraph
Global Scholarships – 5 Best Universities in Germany with High Employability Rates,Educational website (employability ranking summary),"https://globalscholarships.com/universities-germany-high-employability-rate/#:~:text=Third%20on%20our%20list%20is,like%20Bosch%2C%20Daimler%2C%20and%20Volkswagen",5. RWTH Aachen University
Global Scholarships,Educational website (employability ranking summary),"https://globalscholarships.com/universities-germany-high-employability-rate/#:~:text=Third%20on%20our%20list%20is,like%20Bosch%2C%20Daimler%2C%20and%20Volkswagen",3.Technical University of Berlin 
Global Scholarships – 5 Best Universities in Germany with High Employability Rates,Educational website (employability ranking summary),"https://globalscholarships.com/universities-germany-high-employability-rate/#:~:text=Third%20on%20our%20list%20is,like%20Bosch%2C%20Daimler%2C%20and%20Volkswagen",1. Technical University of Munich
Nucamp Blog – Top 10 Swiss Colleges for Tech (2025),Industry blog / educational article,https://www.nucamp.co/blog/coding-bootcamp-switzerland-che-the-top-10-best-colleges-in-switzerland-for-tech-enthusiasts-in-2025,TLDR
Business ABC Wiki – EPFL,Informational wiki page,https://businessabc.net/wiki/ecole-polytechnique-federale-de-lausanne-epfl,Job integration rate
Uniavisen/AE Council – Grad Unemployment Study,News article (think-tank study data),https://www.dtu.dk/english/newsarchive/2022/08/stor-efterspoergsel-paa-nyuddannede-ingenioerer,2:nd paragraph
Career Monitoring Survey (Univ. of Helsinki & Statistics Finland),Official university survey/statistics,"https://www.helsinki.fi/assets/drupal/2023-09/H20_Law_2003-2017_masters_en.pdf#:~:text=%E2%80%A2%20In%20the%20light%20of,one%20year%20after",Page 18
"Discover Uni – BA (Hons) Computer Science, Cambridge",Government graduate outcomes survey,https://discoveruni.gov.uk/course-details/10007788/UG_CSTX/Full-time/,First statistic
University of Oxford – Facts and Figures 2020/21,Official university report/data,"https://www.ox.ac.uk/about/facts-and-figures/full-version-facts-and-figures#:~:text=93,15%20months%20after%20leaving",3:th point
University of Oxford – Facts and Figures 2020/21,Official university report/data,"https://www.ox.ac.uk/about/facts-and-figures/full-version-facts-and-figures#:~:text=93,15%20months%20after%20leaving",3:th point
"Discover Uni – BSc Computer Science, UCL",Government graduate outcomes survey,https://discoveruni.gov.uk/course-details/10007784/UBSCOMSING18/Full-time/,First statistic
