
University,Overall Satisfaction,Teaching Quality,Campus Facilities,Support Services,Social Experience
Chalmers Univ. of Technology,"90%","90% ","85–90%","90%","85%"
Univ. of Gothenburg,89% ,89% ,90% ,91%,89% 
KTH Royal Inst. of Technology,"80%",N/A,N/A,N/A,N/A
NTNU (Norwegian Univ. of Sci. & Tech.),82%,N/A,N/A,N/A,N/A
Univ. Politécnica de Valencia (UPV),88% ,N/A,N/A,N/A,N/A
Gdańsk Univ. of Technology,80% ,N/A,N/A,N/A,N/A
Warsaw Univ. of Technology (PW),78% ,N/A,N/A,N/A,N/A
Politecnico di Milano,"86%",N/A,N/A,N/A,N/A
RWTH Aachen University,"76%","97%",N/A,"82%",N/A
TU Berlin,"88%",N/A,N/A,N/A,N/A
Technical Univ. of Munich (TUM),N/A,N/A,N/A,N/A,N/A
ETH Zurich (Switzerland),62%,N/A,N/A,N/A,84%
EPFL (Switzerland),N/A,N/A,N/A,N/A,N/A
Univ. of Copenhagen (Denmark),N/A,N/A,N/A,N/A,N/A
Univ. of Helsinki (Finland),N/A,90%,N/A,N/A,N/A
Univ. of Cambridge (UK),91%,90%,94%,84%,75%
Univ. of Oxford (UK),91%,96%,97%,96%,89%
University College London (UCL, UK),80%,N/A,N/A,N/A,N/A
Institut Polytechnique de Paris (France),N/A,N/A,N/A,N/A,N/A
Riga Technical Univ. (Latvia),N/A,N/A,N/A,N/A,N/A
Univ. of Tartu (Estonia),90%,95%,N/A,98%,63%
